NO,RANDOM_SEED,SELECTION_MODE,BITING_RATE_MEAN,DAILY_BITING_RATE_DISTRIBUTION,N_GENES_INITIAL,N_ALLELES_PER_LOCUS,T_BURNIN,T_END,IRS_START,EXPECTED_EQUILIBRIUM,IRS_BITING
1,218341084,SPECIFIC_IMMUNITY,0.0001,mosquito_population_plosbiol_4.csv,1200,120,3600,39960,28800,10800,IRS_model
2,970203701,SPECIFIC_IMMUNITY,0.0001,mosquito_population_plosbiol_4.csv,2400,240,3600,39960,28800,10800,IRS_model
3,139302971,SPECIFIC_IMMUNITY,0.0001,mosquito_population_plosbiol_4.csv,4800,480,3600,39960,28800,10800,IRS_model
4,969880735,SPECIFIC_IMMUNITY,0.0001,mosquito_population_plosbiol_4.csv,9600,960,3600,39960,28800,10800,IRS_model
5,435381668,SPECIFIC_IMMUNITY,0.0001,mosquito_population_plosbiol_4.csv,19200,1920,3600,39960,28800,10800,IRS_model
6,614994760,SPECIFIC_IMMUNITY,0.00025,mosquito_population_plosbiol_4.csv,1200,120,3600,39960,28800,10800,IRS_model
7,102303391,SPECIFIC_IMMUNITY,0.00025,mosquito_population_plosbiol_4.csv,2400,240,3600,39960,28800,10800,IRS_model
8,285891320,SPECIFIC_IMMUNITY,0.00025,mosquito_population_plosbiol_4.csv,4800,480,3600,39960,28800,10800,IRS_model
9,196540773,SPECIFIC_IMMUNITY,0.00025,mosquito_population_plosbiol_4.csv,9600,960,3600,39960,28800,10800,IRS_model
10,472644531,SPECIFIC_IMMUNITY,0.00025,mosquito_population_plosbiol_4.csv,19200,1920,3600,39960,28800,10800,IRS_model
11,648352321,SPECIFIC_IMMUNITY,0.0005,mosquito_population_plosbiol_4.csv,1200,120,3600,39960,28800,10800,IRS_model
12,128036610,SPECIFIC_IMMUNITY,0.0005,mosquito_population_plosbiol_4.csv,2400,240,3600,39960,28800,10800,IRS_model
13,205749526,SPECIFIC_IMMUNITY,0.0005,mosquito_population_plosbiol_4.csv,4800,480,3600,39960,28800,10800,IRS_model
14,909346073,SPECIFIC_IMMUNITY,0.0005,mosquito_population_plosbiol_4.csv,9600,960,3600,39960,28800,10800,IRS_model
15,992585300,SPECIFIC_IMMUNITY,0.0005,mosquito_population_plosbiol_4.csv,19200,1920,3600,39960,28800,10800,IRS_model
