NO,RANDOM_SEED,BITING_RATE_MEAN,DAILY_BITING_RATE_DISTRIBUTION,N_GENES_INITIAL,N_ALLELES_PER_LOCUS,T_BURNIN,T_END,IRS_START,EXPECTED_EQUILIBRIUM,N_GENES_PER_STRAIN,TRANSITION_RATE_NOT_IMMUNE
1,68443039,0.00025,mosquito_population_plosbiol_4.csv,1200,120,3600,39960,28800,10800,40,0.2
2,31926739,0.00025,mosquito_population_plosbiol_4.csv,2400,240,3600,39960,28800,10800,40,0.2
3,59713990,0.00025,mosquito_population_plosbiol_4.csv,4800,480,3600,39960,28800,10800,40,0.2
4,53416756,0.00025,mosquito_population_plosbiol_4.csv,9600,960,3600,39960,28800,10800,40,0.2
5,74877043,0.00025,mosquito_population_plosbiol_4.csv,19200,1920,3600,39960,28800,10800,40,0.2
6,15719591,0.0005,mosquito_population_plosbiol_4.csv,1200,120,3600,39960,28800,10800,60,0.166666667
7,79397476,0.0005,mosquito_population_plosbiol_4.csv,2400,240,3600,39960,28800,10800,60,0.166666667
8,61982273,0.0005,mosquito_population_plosbiol_4.csv,4800,480,3600,39960,28800,10800,60,0.166666667
9,71756775,0.0005,mosquito_population_plosbiol_4.csv,9600,960,3600,39960,28800,10800,60,0.166666667
10,14288716,0.0005,mosquito_population_plosbiol_4.csv,19200,1920,3600,39960,28800,10800,60,0.166666667
